Ticker,Company Name,Current Price,Low PT,Avg PT,High PT,# Analyst,LowPT/Curr%,AvgPT/Curr%,HighPT/Curr%,Rating
O,Realty Income,65.41,59,66.63,72,8,-9.80%,1.90%,10.10%,9
CERN,Cerner,72.42,62,78.29,88,7,-14.40%,8.10%,21.50%,6
AVB,AvalonBay,153,140,171.3,205,12,-8.50%,12.00%,34.00%,9
LEN,Lennar,78.89,65,84.09,99,13,-17.60%,6.60%,25.50%,9
YUMC,"Yum China Holdings
",51.97,60.15,62.87,68,8,15.70%,21.00%,30.80%,10
SGEN,"Seattle Genetics
",176.6,145,182,213,15,-17.90%,3.10%,20.60%,8
MPC,"Marathon Petroleum
",32.36,35,46,66,13,8.20%,42.20%,104.00%,3
SPG,Simon Property,74.12,62,78.29,98,7,-16.40%,5.60%,32.20%,4
RSG,"Republic Services
",96.39,90,100.5,114,8,-6.60%,4.30%,18.30%,3
RNG,RingCentral,256.4,280,339.05,375,20,9.20%,32.20%,46.30%,6
AJG,"Arthur J Gallagher & Co
",103,101,115.6,130,10,-1.90%,12.20%,26.20%,3
FLT,"Fleetcor Technologies
",234.4,250,282.46,310,15,6.70%,20.50%,32.30%,3
ODFL,"Old Dominion Freight
",190,156,186,220,9,-17.90%,-2.10%,15.80%,9
KKR,KKR & Co,36.14,36,40.35,47.5,13,-0.40%,11.60%,31.40%,8
LH,Laboratory,185.3,217,232.67,249,8,17.10%,25.60%,34.40%,9
TTWO,Take-Two,157,137,187.28,210,19,-12.70%,19.30%,33.80%,6
DFS,"Discover Financial Services
",59.22,52.5,62.82,82,13,-11.30%,6.10%,38.50%,2
KSU,"Kansas City Southern
",186.6,136,176.53,220,15,-27.10%,-5.40%,17.90%,8
KEYS,"Keysight Technologies
",97.97,112,126.4,135,11,14.30%,29.00%,37.80%,8
W,Wayfair,268.9,160,311.35,395,26,-40.50%,15.80%,46.90%,7
TTD,Trade Desk,441.3,400,505,580,12,-9.40%,14.40%,31.40%,9
AKAM,Akamai,107,105,122.88,150,16,-1.90%,14.80%,40.20%,4
EPAM,Epam Systems,329.7,260,336.38,370,9,-21.10%,2.00%,12.20%,7
VTR,Ventas,45.33,30,39.33,47,15,-33.80%,-13.20%,3.70%,1
INCY,Incyte,89.94,87,103.73,124,14,-3.30%,15.30%,37.90%,5
COO,Cooper Co,342.3,291,336.78,365,9,-15.00%,-1.60%,6.60%,10
FTNT,Fortinet,116.9,102,136.92,170,13,-12.70%,17.10%,45.40%,8
NTRS,Northern,83.22,73,83.88,92,9,-12.30%,0.80%,10.60%,1
MAS,Masco,59.07,53.5,61.5,70,13,-9.40%,4.10%,18.50%,8
HOLX,Hologic,60.77,64,76.27,85,11,5.30%,25.50%,39.90%,8
PEAK,"Healthpeak Properties
",28.68,27,29.5,32,9,-5.90%,2.90%,11.60%,5
ESS,Essex Property,219.5,215,234.33,257,10,-2.10%,6.80%,17.10%,6
TDOC,Teladoc,193.5,175,240.83,282,23,-9.60%,24.50%,45.70%,9
QRVO,Qorvo,128.8,125,142.94,160,16,-3.00%,11.00%,24.20%,9
EXR,"Extra Space Storage
",112.2,83,102.75,119,9,-26.00%,-8.40%,6.10%,8
DRE,Duke Realty,37.98,34,41.75,45,8,-10.50%,9.90%,18.50%,5
IEX,IDEX,186.4,171,190.29,215,9,-8.30%,2.10%,15.30%,5
BMRN,"BioMarin Pharmaceutical
",75.64,77,111.13,188,24,1.80%,46.90%,148.50%,7
SSNC,"SS&C Technologies Holdings
",60.97,59,67.44,78,10,-3.20%,10.60%,27.90%,10
ETSY,Etsy,108.8,68,149.47,170,17,-37.50%,37.40%,56.30%,10
PAYC,Paycom,280.5,220,290.6,345,10,-21.60%,3.60%,23.00%,6
BXP,"Boston Properties
",89.93,92,104.6,115,10,2.30%,16.30%,27.90%,8
CHRW,CH Robinson,103.4,53,91.15,105,16,-48.70%,-11.80%,1.50%,3
MTB,M&T Bank,103.2,107,120.5,135,8,3.70%,16.80%,30.80%,1
DDOG,Datadog,89.38,80,95.18,110,13,-10.50%,6.50%,23.10%,7
SJM,JM Smucker,110.8,106,122.11,127,9,-4.30%,10.20%,14.60%,1
HAL,Halliburton,15.07,11.8,15.7,22.5,16,-21.70%,4.20%,49.30%,4
WAT,Waters,206.5,180,213.57,230,9,-12.80%,3.40%,11.40%,5
FDS,"Factset Research
",334.1,237,283.86,310,9,-29.10%,-15.00%,-7.20%,6
GDDY,GoDaddy,73.52,83,95.31,110,13,12.90%,29.60%,49.60%,4
BKI,Black Knight,86.21,80,89.33,100,9,-7.20%,3.60%,16.00%,7
HPE,"Hewlett Packard Enterprise
",9.47,8.5,10.83,14,11,-10.20%,14.40%,47.80%,5
RCL,Royal Caribbean,69.61,35,57.15,75,16,-49.70%,-17.90%,7.70%,1
PHM,PulteGroup,46.72,44,46.63,50,8,-5.80%,-0.20%,7.00%,9
ETFC,"E*Trade Financial
",53.01,50,52.14,55,7,-5.70%,-1.60%,3.80%,2
HES,Hess,44.2,48,58.86,71,15,8.60%,33.20%,60.60%,3
RF,"Regions Financial
",12.09,12,13.45,16,10,-0.70%,11.20%,32.30%,5
WDC,Western Digital,38.79,40,53.1,90,20,3.10%,36.90%,132.00%,6
HUBS,HubSpot,277.1,200,272.53,328,18,-27.80%,-1.60%,18.40%,7
EXAS,Exact Sciences,76.01,107,117,135,11,40.80%,53.90%,77.60%,7
VICI,VICI Properties,25.1,23,27.61,33,10,-8.40%,10.00%,31.50%,10
PFG,"Principal Financial
",41.61,38,45.13,52,8,-8.70%,8.50%,25.00%,8
VMW,VMware,144.8,115,168.43,200,18,-20.60%,16.30%,38.10%,9
MGM,MGM Resorts,23.01,13,19.82,27,12,-43.50%,-13.90%,17.30%,2
ELAN,"Elanco Animal Health
",27.39,26.5,28.25,31,8,-3.20%,3.10%,13.20%,5
ZEN,Zendesk,96.52,90,111,123,15,-6.80%,15.00%,27.40%,6
MASI,Masimo,224.7,250,255,260,7,11.30%,13.50%,15.70%,6
ALB,Albemarle,97.8,60,84.27,115,11,-38.70%,-13.80%,17.60%,6
AAP,"Advance Auto Parts
",154.6,156,179.56,190,13,0.90%,16.10%,22.90%,7
SRPT,"Sarepta Therapeutics
",143.9,161,193.57,230,16,11.90%,34.50%,59.80%,5
DELL,"Dell Technologies
",67.37,54,66.42,80,13,-19.80%,-1.40%,18.70%,5
CBOE,"Cboe Global Markets
",90.45,88,98.2,115,10,-2.70%,8.60%,27.10%,N/A
CCK,Crown Holdings,76.51,71,80.88,87,9,-7.20%,5.70%,13.70%,6
NBIX,Neurocrine,101.2,120,140,161,18,18.60%,38.30%,59.10%,10
FOXA,Fox,29.34,21,28.73,34,12,-28.40%,-2.10%,15.90%,5
HAS,Hasbro,78.51,69,85.57,103,7,-12.10%,9.00%,31.20%,1
WORK,"Slack Technologies
",25.3,20,32.19,45,18,-20.90%,27.20%,77.90%,4
SEDG,"SolarEdge Technologies
",201.7,77,164.4,222,12,-61.80%,-18.50%,10.10%,10
RJF,"Raymond James Financial
",74.69,63,77.83,91,7,-15.70%,4.20%,21.80%,3
ALLY,Ally Financial,25.7,23.5,28.85,34,10,-8.60%,12.30%,32.30%,5
TXT,Textron,39.61,33,43,52,7,-16.70%,8.60%,31.30%,6
HSIC,Henry Schein,64.15,59,67.2,74,7,-8.00%,4.80%,15.40%,2
BWA,BorgWarner,39.56,23,44.08,53,12,-41.90%,11.40%,34.00%,3
NUAN,"Nuance Communications
",33.2,21,31.67,36,7,-36.70%,-4.60%,8.40%,10
MDB,MongoDB,205.6,245,284.2,320,11,19.20%,38.20%,55.60%,8
CONE,CyrusOne,76.09,74,86.5,95,14,-2.70%,13.70%,24.90%,9
PENN,"Penn National Gaming
",67.84,22,56.13,80,13,-67.60%,-17.30%,17.90%,8
AGNC,AGNC Investment,14.61,15,15.38,17,8,2.70%,5.30%,16.40%,10
TREX,Trex Company,70.11,74,133.91,156,11,5.50%,91.00%,122.50%,7
OXY,"Occidental Petroleum
",11.64,8,16.08,25,13,-31.30%,38.10%,114.80%,1
WYNN,Wynn Resorts,79.66,72,93.54,120,14,-9.60%,17.40%,50.60%,1
DISH,Dish Network,33.24,25,36.86,50,8,-24.80%,10.90%,50.40%,5
PTON,"Peloton Interactive
",82.59,33,112.05,138,23,-60.00%,35.70%,67.10%,9
CDAY,"Ceridian HCM Holding
",78.01,60,83.75,100,13,-23.10%,7.40%,28.20%,7
XPO,XPO Logistics,92.58,75,93,119,10,-19.00%,0.50%,28.50%,6
AMH,American Homes,29.37,27,29.75,34,8,-8.10%,1.30%,15.80%,9
GLPI,"Gaming and Leisure
",38.51,37,41,50,9,-3.90%,6.50%,29.80%,7
JAZZ,"Jazz Pharmaceuticals
",144.1,128,171.17,205,13,-11.20%,18.80%,42.30%,7
CZR,"Caesars Entertainment
",55.94,12,49.9,67,10,-78.50%,-10.80%,19.80%,8
ZNGA,Zynga,8.3,8,11.83,13.3,14,-3.60%,42.50%,60.20%,10
FIVN,Five9,119.8,115,138.93,157,16,-4.00%,16.00%,31.10%,4
RGA,"Reinsurance Group
",103,85,98.43,112,7,-17.50%,-4.40%,8.70%,7
OC,Owens Corning,68.79,52,65.92,80,14,-24.40%,-4.20%,16.30%,3
DT,Dynatrace,39.11,40,49.22,55,9,2.30%,25.90%,40.60%,5
IONS,"Ionis Pharmaceuticals
",51.77,54,71.22,91,12,4.30%,37.60%,75.80%,4
ST,Sensata,44.11,44,49.5,54,9,-0.20%,12.20%,22.40%,10
CREE,Cree,65.4,60,69.13,79,11,-8.30%,5.70%,20.80%,4
REG,Regency Centers,41.61,38,45.22,52,10,-8.70%,8.70%,25.00%,2
PRAH,"PRA Health Sciences
",103.7,108,117.17,130,7,4.10%,13.00%,25.40%,8
CIEN,Ciena,41.43,42,54.46,64,13,1.40%,31.50%,54.50%,8
CASY,Casey's General,175.4,170,195.13,225,8,-3.10%,11.20%,28.30%,9
GRUB,GrubHub,68.93,70,74.33,79,8,1.60%,7.80%,14.60%,6
KRC,Kilroy Realty,57.18,49,67.38,76,8,-14.30%,17.80%,32.90%,3
STOR,Store Capital,29.36,20,26.43,32,8,-31.90%,-10.00%,9.00%,9
MOS,Mosaic Co,18.1,15,18.27,23,11,-17.10%,0.90%,27.10%,7
TNDM,"Tandem Diabetes Care
",108.4,87,118.71,140,14,-19.70%,9.50%,29.20%,5
RH,RH,381.5,380,415.11,450,11,-0.40%,8.80%,18.00%,10
SEE,Sealed Air,38.83,40,42.67,49,8,3.00%,9.90%,26.20%,8
VOYA,Voya Financial,48.06,53,59.63,66,8,10.30%,24.10%,37.30%,7
FRT,Federal Realty,83.58,83,88,95,8,-0.70%,5.30%,13.70%,4
FSLY,Fastly,82.52,58,92.38,110,12,-29.70%,11.90%,33.30%,7
IRTC,"Irhythm Technologies
",227.1,180,210.86,250,8,-20.70%,-7.20%,10.10%,7
MHK,"Mohawk Industries
",100.2,70,92.5,118,13,-30.10%,-7.70%,17.80%,1
PFPT,Proofpoint,103.7,130,147.56,174,12,25.40%,42.30%,67.80%,4
CMA,Comerica,41.18,36,42.56,50,12,-12.60%,3.40%,21.40%,7
CACI,"Caci International
",223.7,230,286,325,9,2.80%,27.80%,45.30%,7
AIV,"Apartment Investment & Management
",37.18,39,40.5,42,8,4.90%,8.90%,13.00%,5
BJ,"Bj's Wholesale Club Holdings
",38.78,33,48.43,55,15,-14.90%,24.90%,41.80%,4
AYX,Alteryx,108.4,110,162.1,216,10,1.50%,49.50%,99.30%,4
HBI,Hanesbrands,16.21,14,16.88,20,8,-13.60%,4.10%,23.40%,9
CLGX,Corelogic,67.61,65,70.83,80,8,-3.90%,4.80%,18.30%,8
SRCL,Stericycle,63.2,52,64.8,76,8,-17.70%,2.50%,20.30%,4
SERV,"Servicemaster Global Holdings
",40.35,41,48.17,55,7,1.60%,19.40%,36.30%,9
NLSN,"Nielsen Holdings
",15.71,17,19.29,24,7,8.20%,22.80%,52.80%,7
PII,Polaris,92.04,84,112.5,128,13,-8.70%,22.20%,39.10%,9
OSK,Oshkosh,78.32,82,88.78,96,9,4.70%,13.40%,22.60%,7
KNX,"Knight Transportation
",42.2,42,51.31,62,14,-0.50%,21.60%,46.90%,6
AAXN,Axon Enterprise,83.73,90,101,112,8,7.50%,20.60%,33.80%,7
SMAR,Smartsheet,46.44,50,60.54,68,13,7.70%,30.40%,46.40%,5
TOL,Toll Brothers,44.97,36,43.44,53,10,-19.90%,-3.40%,17.90%,7
FANG,Diamondback,32.91,44,55.24,86,20,33.70%,67.90%,161.30%,5
PCTY,Paylocity,147,133,147.71,165,9,-9.50%,0.50%,12.20%,3
AXTA,"Axalta Coating Systems
",24.69,23,26.44,30,9,-6.80%,7.10%,21.50%,3
WH,"Wyndham Hotels & Resorts
",54.62,55,57.5,61,7,0.70%,5.30%,11.70%,8
BC,Brunswick,62.05,68,77.67,88,11,9.60%,25.20%,41.80%,9
DBX,Dropbox,20.22,22,26.88,32,9,8.80%,32.90%,58.30%,7
TPR,Tapestry,18.1,15,19.33,25,13,-17.10%,6.80%,38.10%,8
COR,Coresite Realty,120.9,110,129.38,141,8,-9.00%,7.00%,16.60%,6
AGCO,Agco,76.26,58,75,91,13,-23.90%,-1.70%,19.30%,7
RDFN,Redfin,51.25,24,41.55,58,14,-53.20%,-18.90%,13.20%,7
UTHR,"United Therapeutics
",106,125,155.63,247,8,17.90%,46.80%,133.00%,6
APA,Apache,12.5,11,16.03,22,19,-12.00%,28.20%,76.00%,1
NCLH,"Norwegian Cruise Line
",17.5,12,16.85,23,11,-31.40%,-3.70%,31.40%,1
TXRH,Texas Roadhouse,64.41,52,60.82,71,17,-19.30%,-5.60%,10.20%,5
NOV,"National-Oilwell
",11.93,11,13.58,16,10,-7.80%,13.80%,34.10%,3
IVZ,Invesco,10.89,4.5,9.7,11,11,-58.70%,-10.90%,1.00%,6
ENV,Envestnet,78.61,70,92.5,102,7,-11.00%,17.70%,29.80%,9
NTNX,Nutanix,23.82,18,27.63,35,11,-24.40%,16.00%,46.90%,1
ESNT,Essent Group,37.55,36,46.43,61,7,-4.10%,23.60%,62.50%,5
NYCB,NY Community,8.92,10,11.81,14,8,12.10%,32.40%,57.00%,8
SKX,Skechers USA,32.84,32,37.83,41,7,-2.60%,15.20%,24.80%,8
GMED,Globus Medical,53.53,55,60.27,65,11,2.70%,12.60%,21.40%,5
AYI,Acuity Brands,106.8,50,102.83,135,7,-53.20%,-3.70%,26.40%,9
ASH,Ashland,73.47,75,87.44,106,9,2.10%,19.00%,44.30%,5
ETRN,"Equitrans Midstream
",9.49,10,12.67,15,7,5.40%,33.50%,58.10%,10
AAN,Aaron's,57.25,68,75.43,90,7,18.80%,31.80%,57.20%,9
BLDR,"Builders Firstsource
",33.17,27,33.38,37,8,-18.60%,0.60%,11.50%,10
BPMC,"Blueprint Medicines
",75.98,77,98.91,110,12,1.30%,30.20%,44.80%,4
QTS,QTS Realty,64.63,68,75.5,80,11,5.20%,16.80%,23.80%,7
DOC,"Physicians Realty
",18.51,18,20,22,10,-2.80%,8.00%,18.90%,10
NET,Cloudflare,35.9,42,48.25,55,12,17.00%,34.40%,53.20%,6
ARNA,Arena Pharma,69.9,70,83.18,115,11,0.10%,19.00%,64.50%,10
IIVI,II-VI,38.6,43,55.88,67,14,11.40%,44.80%,73.60%,4
SMTC,Semtech,56.88,54,66.67,72,10,-5.10%,17.20%,26.60%,6
SRC,"Spirit Realty Capital
",36.86,34,40.86,47,8,-7.80%,10.90%,27.50%,7
BRX,"Brixmor Property
",13.26,11,13.43,18,7,-17.00%,1.30%,35.70%,6
NEO,NeoGenomics,35.47,34,41.5,46,8,-4.10%,17.00%,29.70%,6
CC,"Chemours Company
",21.21,18,19.86,22,7,-15.10%,-6.40%,3.70%,2
TRGP,Targa Resources,16.15,18,23.88,39,11,11.50%,47.90%,141.50%,2
DVN,Devon Energy,9.76,13,15.82,21,18,33.20%,62.10%,115.20%,5
PSTG,Pure Storage,15.26,15,19.56,23,11,-1.70%,28.20%,50.70%,5
BLUE,Bluebird Bio,54.65,68,102.55,140,13,24.40%,87.60%,156.20%,2
HXL,Hexcel,40.33,22,41.45,55,11,-45.50%,2.80%,36.40%,3
GBT,"Global Blood Therapeutics
",54.76,60,113.08,152,14,9.60%,106.50%,177.60%,6
JCOM,J2 Global,73.22,81,91.5,120,7,10.60%,25.00%,63.90%,3
HFC,Hollyfrontier,22.52,22,31.75,38,14,-2.30%,41.00%,68.70%,4
KBH,KB Home,38.95,29,38.5,44,10,-25.50%,-1.20%,13.00%,10
SAIL,"SailPoint Technologies Holdings
",38.13,23,39.27,55,13,-39.70%,3.00%,44.20%,10
IART,"Integra Lifesciences
",47,53,58,68,7,12.80%,23.40%,44.70%,2
QLYS,Qualys,94.87,100,114.13,140,8,5.40%,20.30%,47.60%,4
SBRA,"Sabra Healthcare REIT
",15.82,14,15.38,19,8,-11.50%,-2.80%,20.10%,3
LPSN,Liveperson,47.5,55,63.6,75,11,15.80%,33.90%,57.90%,7
CG,Carlyle Group,25.8,17,29.33,40,9,-34.10%,13.70%,55.00%,2
BHF,"Brighthouse Financial
",29.33,27,31.5,37,7,-7.90%,7.40%,26.20%,2
PRNB,"Principia Biopharma
",99.99,100,107.57,130,7,0.00%,7.60%,30.00%,1
BHVN,"Biohaven Pharmaceutical Holding Co
",62.86,57,85.67,109,7,-9.30%,36.30%,73.40%,10
HAIN,Hain Celestial,34.4,30,35.29,40,7,-12.80%,2.60%,16.30%,10
VIAV,Viavi Solutions,12.08,14,16.56,18,8,15.90%,37.10%,49.00%,5
GO,"Grocery Outlet Holding
",39.56,34,48.7,58,10,-14.10%,23.10%,46.60%,8
WSC,"WillScot Mobile Mini Holdings
",17.4,20,21.57,25,7,14.90%,24.00%,43.70%,3
SR,Spire,53.23,63,69.33,74,9,18.40%,30.20%,39.00%,3
BMCH,"BMC Stock Holdings
",43.06,33,39.33,49,8,-23.40%,-8.70%,13.80%,5
OZK,Bank OZK,22.2,26,27.57,30,8,17.10%,24.20%,35.10%,4
MTZ,MasTec,44.24,48,56.29,78,7,8.50%,27.20%,76.30%,6
MIME,Mimecast,47.47,48,57.86,77,14,1.10%,21.90%,62.20%,6
XEC,Cimarex Energy,26.39,33,39,45,16,25.00%,47.80%,70.50%,5
ENR,"Energizer Holdings
",40.42,39,50.25,57,8,-3.50%,24.30%,41.00%,8
TWOU,2U,35.05,42,49.75,55,11,19.80%,41.90%,56.90%,9
BOX,Box,18.05,24,25.4,30,7,33.00%,40.70%,66.20%,3
AEO,American Eagle,15.39,14,16.17,20,11,-9.00%,5.10%,30.00%,9
GTLS,"Chart Industries
",70.51,50,75.1,86,10,-29.10%,6.50%,22.00%,10
SHAK,Shake Shack,71.32,46,56.4,78,10,-35.50%,-20.90%,9.40%,1
TREE,Lendingtree,318.7,280,356.29,400,7,-12.10%,11.80%,25.50%,7
SAFM,Sanderson Farms,125.4,120,141.6,159,8,-4.30%,12.90%,26.80%,7
M,Macy's,6.98,4,5.33,7,7,-42.70%,-23.60%,0.30%,1
WLK,"Westlake Chemical
",66.64,30,58.89,85,9,-55.00%,-11.60%,27.60%,5
STAY,"Extended Stay America
",12.58,12,14.38,17,8,-4.60%,14.30%,35.10%,9
VG,Vonage Holdings,10.14,12,13.88,16,9,18.30%,36.90%,57.80%,10
OVV,Ovintiv,10.15,9.5,11.83,17,13,-6.40%,16.60%,67.50%,5
PPD,PPD,32.25,35,37.1,40,10,8.50%,15.00%,24.00%,6
KTOS,Kratos Defense,21.61,22,24,26,7,1.80%,11.10%,20.30%,8
CLDR,Cloudera,11.18,9,14.5,19,11,-19.50%,29.70%,69.90%,6
PCRX,"Pacira Pharmaceuticals
",60.31,54,65.08,85,12,-10.50%,7.90%,40.90%,3
DAN,Dana Holding,13.74,13,15.86,18,9,-5.40%,15.40%,31.00%,7
H,Hyatt Hotels,61.12,28,49.6,83,10,-54.20%,-18.80%,35.80%,4
SPR,"Spirit AeroSystems
",21.02,12,21.7,26,11,-42.90%,3.20%,23.70%,1
WCC,"Wesco International
",44.62,35,52,65,10,-21.60%,16.50%,45.70%,10
IBP,"Installed Building Products
",98.83,63,92,115,11,-36.30%,-6.90%,16.40%,8
OMF,"OneMain Holdings
",32.41,29,38,43,11,-10.50%,17.20%,32.70%,10
SUM,"Summit Materials
",17.08,19,22.56,25,10,11.20%,32.10%,46.40%,8
PDCO,"Patterson Companies
",24.19,19,24.13,31,8,-21.50%,-0.20%,28.20%,7
SFIX,Stitch Fix,28.26,25,30.83,35,7,-11.50%,9.10%,23.80%,8
MGY,"Magnolia Oil & Gas
",6.07,7,8.06,9,9,15.30%,32.80%,48.30%,5
